name	name_va	reg_site_va	id_global_va	getter_va	vtable_va	serializer_va	handler_va	file_off_reg	file_off_name	file_off_getter	file_off_vtable	file_off_serializer_ptr	file_off_handler_ptr	source
LSCN_LoginVitalRes	0x00F0B070	0x00BEFE10	0x01082348	0x005F2840	0x00F30D64	0x005F3210	0x005F3300	0x007EF210	0x00B09470	0x001F1C40	0x00B2F164	0x00B2F17C	0x00B2F180	IMAGE
LSCN_SelectServerReq	0x00F0B040	0x00BEFE30	0x0108234C	0x004C5D30	0x00F16D0C	0x005F28D0	0x00710440	0x007EF230	0x00B09440	0x000C5130	0x00B1510C	0x00B15124	0x00B15128	IMAGE
LSCN_SelectServerRes	0x00F0B028	0x00BEFE50	0x01082350	0x005F29C0	0x00F30D88	0x005F2A70	0x005F3390	0x007EF250	0x00B09428	0x001F1DC0	0x00B2F188	0x00B2F1A0	0x00B2F1A4	IMAGE
LSCN_ReloginVerifyVital	0x00F0B058	0x00BEFE70	0x01082354	0x005F2BA0	0x00F30DAC	0x005F2C30	0x00710440	0x007EF270	0x00B09458	0x001F1FA0	0x00B2F1AC	0x00B2F1C4	0x00B2F1C8	IMAGE
VitalData	0x00F30E30	0x00BF0100	0x010823B4	0x004277C0	UNKNOWN	UNKNOWN	0x00B3798C	0x007EF500	0x00B2F230	0x00026BC0	UNKNOWN	0x00B09D48|0x00B35A14	0x00B09D4C|0x00B35A18	IMAGE
VitalProtocol	0x00F30E3C	0x00BF0130	0x010823BC	0x005F3590	0x00F30E00	0x005F4070	0x005F39E0	0x007EF530	0x00B2F23C	0x001F2990	0x00B2F200	0x00B2F218	0x00B2F21C	IMAGE
BasicModule_Client	0x00F313E4	0x00BF0B50	0x01082594	0x004160E0	0x00F0A7F8	0x00710440	0x0073D360	0x007EFF50	0x00B2F7E4	0x000154E0	0x00B08BF8	0x00B08C10	0x00B08C14	IMAGE
Module	0x00F31424	0x00BF0BB0	0x010825A0	0x0040C790	0x00F0A798	0x00710440	0x0073D360	0x007EFFB0	0x00B2F824	0x0000BB90	0x00B08B98	0x00B08BB0	0x00B08BB4	IMAGE
TriggerModule_Client	0x00F0F5EC	0x00BF0FB0	0x01082804	0x00600500	0x00F316C8	0x005FE120	0x005FEBF0	0x007F03B0	0x00B0D9EC	0x001FF900	0x00B2FAC8	0x00B2FAE0	0x00B2FAE4	IMAGE
TriggerVital	0x00F317CC	0x00BF10F0	0x01082844	0x006007A0	0x00F31714	0x006007C0	0x00710440	0x007F04F0	0x00B2FBCC	0x001FFBA0	0x00B2FB14	0x00B2FB2C	0x00B2FB30	IMAGE
TriggerResult	0x00F317DC	0x00BF1110	0x01082848	0x006008C0	0x00F31738	0x00600960	0x006018A0	0x007F0510	0x00B2FBDC	0x001FFCC0	0x00B2FB38	0x00B2FB50	0x00B2FB54	IMAGE
TriggerCastSkillVital	0x00F317EC	0x00BF1130	0x0108284C	0x00600A40	0x00F3175C	0x00600A60	0x00601810	0x007F0530	0x00B2FBEC	0x001FFE40	0x00B2FB5C	0x00B2FB74	0x00B2FB78	IMAGE
TriggerSyncVital	0x00F31804	0x00BF1150	0x01082850	0x00601300	0x00F317A8	0x006016D0	0x00601930	0x007F0550	0x00B2FC04	0x00200700	0x00B2FBA8	0x00B2FBC0	0x00B2FBC4	IMAGE
TriggerMessageVital	0x00F31818	0x00BF1170	0x01082854	0x00600AD0	0x00F31780	0x00600AF0	0x006019C0	0x007F0570	0x00B2FC18	0x001FFED0	0x00B2FB80	0x00B2FB98	0x00B2FB9C	IMAGE
QuestAttr	0x00F31900	0x00BF1400	0x010828B4	0x006029C0	0x00F31840	0x0043BB80	0x006FD4E0	0x007F0800	0x00B2FD00	0x00201DC0	0x00B2FC40	0x00B2FC58	0x00B2FC5C	IMAGE
